port_name,latitude,longitude
Port of Palmeira,16.75754,-22.98348
Port of Praia,14.93152,-23.51254
Port of Sal Rei,16.17611,-22.91722
Port of Bremen,53.07582,8.80717
Port of Bremerhaven,53.53615,8.59298
Port of Hamburg,53.55073,9.99302
Port of Lubeck,53.86893,10.68729
Port of Travemunde,53.96304,10.8709
Port of Djibouti,11.58901,43.14503
Port of Aalborg,57.048,9.9187
Port of Esbjerg,55.47028,8.45187
Port of Fredericia,55.56568,9.75257
Port of Grenaa,56.41578,10.87825
Port of Hundested,55.96397,11.85044
Port of Skagen,57.72093,10.58394
Port of Roseau,15.30174,-61.38808
Port of Boca Chica,18.45,-69.6
Port of Puerto Plata,19.79344,-70.6884
Port of Mostaganem,35.93115,0.08918
Port of Oran,35.69906,-0.63588
Port of El Dekheila,31.13133,29.82126
Port of Port Said,31.26531,32.3019
Port of Algeciras,36.13326,-5.45051
Port of Alicante,38.34517,-0.48149
Port of Barcelona,41.38879,2.15899
Port of Cadiz,36.52672,-6.2891
Port of Ceuta,35.88919,-5.32042
Port of Huelva,37.26638,-6.94004
Port of Puerto del Rosario-Fuerteventura,28.50038,-13.86272
Port of Santa Cruz de Tenerife,28.46824,-16.25462
Port of Santander,43.46472,-3.80444
Port of Sevilla,37.38283,-5.97317
Port of Tarragona,41.11667,1.25
Port of Valencia,39.46975,-0.37739
Port of Vigo,42.23282,-8.72264
Port of Hango (Hanko),59.83333,22.95
Port of Hanko (Hango),59.83333,22.95
Port of Helsingfors (Helsinki),60.16952,24.93545
Port of Helsinki (Helsingfors),60.16952,24.93545
Port of Valko (Valkom),60.41392,26.24664
Port of Valkom (Valko),60.41392,26.24664
Port of Libreville,0.39241,9.45356
Port of Port Gentil,-0.71933,8.78151
Port of Blyth,55.12708,-1.50856
Port of Bristol,51.45523,-2.59665
Port of Dover,51.12598,1.31257
Port of Felixstowe,51.96375,1.3511
Port of Fowey,50.33634,-4.6386
Port of Harwich,51.94194,1.28437
Port of Poole,50.71429,-1.98458
Port of Portsmouth,50.79899,-1.09125
Port of Scrabster,58.61277,-3.54627
Port of Sheerness,51.44042,0.76252
Port of Southampton,50.90395,-1.40428
Port of Tilbury,51.46248,0.35856
Port of Saint George's,12.05288,-61.75226
Port of Batumi,41.64228,41.63392
Port of Poti,42.14272,41.67384
Port of Takoradi,4.89816,-1.76029
Port of Tema,5.6698,-0.01657
